Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
呂健威,12,99,27,-25.1,35.6,12.1,27.3,-25.4
蘇偉賢,10,92,21,54.3,43.5,10.9,22.8,59.0
廖康銘,10,96,22,-2.8000000000000016,26.9,10.4,22.9,-2.9
方嘉柏,9,87,21,-29.5,32.3,10.3,24.1,-33.9
姚本輝,9,96,32,-26.6,29.3,9.4,33.3,-27.7
伍鵬志,9,100,20,40.400000000000006,30.0,9.0,20.0,40.4
羅富全,8,95,23,34.2,27.0,8.4,24.2,36.0
巫偉傑,7,94,18,62.9,51.4,7.4,19.1,66.9
文家良,7,81,13,-1.6000000000000014,48.2,8.6,16.0,-2.0
蔡約翰,7,86,21,-17.5,32.9,8.1,24.4,-20.3
大衛希斯,6,112,26,-47.099999999999994,37.8,5.4,23.2,-42.1
沈集成,6,100,16,-28.2,46.2,6.0,16.0,-28.2
賀賢,6,88,19,-8.5,49.6,6.8,21.6,-9.7
丁冠豪,4,43,9,75.3,48.7,9.3,20.9,175.1
告東尼,4,85,12,-58.3,33.0,4.7,14.1,-68.6
鄭俊偉,4,58,15,5.299999999999997,52.5,6.9,25.9,9.1
葉楚航,4,74,11,-58.1,42.7,5.4,14.9,-78.5
游達榮,4,72,9,50.89999999999999,45.5,5.6,12.5,70.7
黎昭昇,4,79,18,-64.5,45.0,5.1,22.8,-81.6
徐雨石,3,39,5,-10.899999999999999,59.0,7.7,12.8,-27.9
桂福特,1,9,2,-4.0,34.6,11.1,22.2,-44.4
容天鵬,1,47,3,-42.7,50.0,2.1,6.4,-90.9
費伯華,1,2,1,0.7000000000000002,4.4,50.0,50.0,35.0
韋達,1,86,14,-80.8,47.6,1.2,16.3,-94.0
布銘球,1,1,1,11.0,12.0,100.0,100.0,1100.0
岳伯仁,0,6,0,-6.0,32.5,0.0,0.0,-100.0
堀宣行,0,2,2,-2.0,14.5,0.0,100.0,-100.0
國枝榮,0,1,1,-1.0,3.2,0.0,100.0,-100.0
伊比軒,0,1,0,-1.0,175.0,0.0,0.0,-100.0
伯特,0,1,0,-1.0,17.0,0.0,0.0,-100.0
吉村圭司,0,1,0,-1.0,73.0,0.0,0.0,-100.0
中內田充正,0,2,2,-2.0,6.4,0.0,100.0,-100.0
上村洋行,0,1,1,-1.0,9.4,0.0,100.0,-100.0
比安威詹 希斯,0,1,0,-1.0,5.6,0.0,0.0,-100.0
武英智,0,1,0,-1.0,35.0,0.0,0.0,-100.0
武井亮,0,2,0,-2.0,17.4,0.0,0.0,-100.0
森一誠,0,1,0,-1.0,7.2,0.0,0.0,-100.0
杉山晴紀,0,3,0,-3.0,60.0,0.0,0.0,-100.0
岳本賢,0,2,0,-2.0,21.3,0.0,0.0,-100.0
岳品賢,0,1,0,-1.0,367.0,0.0,0.0,-100.0
手塚貴久,0,1,1,-1.0,5.6,0.0,100.0,-100.0
巴伯樂,0,1,0,-1.0,82.0,0.0,0.0,-100.0
包義定,0,2,0,-2.0,67.5,0.0,0.0,-100.0
侯耀誠,0,1,0,-1.0,147.0,0.0,0.0,-100.0
田中博康,0,1,0,-1.0,43.0,0.0,0.0,-100.0
白祈達,0,1,0,-1.0,106.0,0.0,0.0,-100.0
活侯夫人及布特,0,1,0,-1.0,34.0,0.0,0.0,-100.0
池添學,0,1,0,-1.0,20.0,0.0,0.0,-100.0
池江泰壽,0,1,1,-1.0,4.6,0.0,100.0,-100.0
藤原英昭,0,1,0,-1.0,94.0,0.0,0.0,-100.0
葛威法,0,2,1,-2.0,8.0,0.0,50.0,-100.0
范鴻禧,0,1,0,-1.0,51.0,0.0,0.0,-100.0
菲德文及菲敦盟,0,1,0,-1.0,5.9,0.0,0.0,-100.0
范景新,0,1,0,-1.0,79.0,0.0,0.0,-100.0
游孝廉,0,1,0,-1.0,61.0,0.0,0.0,-100.0
雷拿及雷恩,0,1,0,-1.0,82.0,0.0,0.0,-100.0
郗國思,0,1,1,-1.0,13.0,0.0,100.0,-100.0
雷里雅,0,1,0,-1.0,11.0,0.0,0.0,-100.0
顧永賢,0,1,0,-1.0,16.0,0.0,0.0,-100.0
馬漢雅,0,1,0,-1.0,148.0,0.0,0.0,-100.0
馬晏殊,0,1,0,-1.0,13.0,0.0,0.0,-100.0
高亮能,0,1,0,-1.0,16.0,0.0,0.0,-100.0
高柳瑞樹,0,1,0,-1.0,76.0,0.0,0.0,-100.0
高野友和,0,1,0,-1.0,10.0,0.0,0.0,-100.0
鹿戶雄一,0,1,0,-1.0,69.0,0.0,0.0,-100.0
