Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
蔡約翰,113,1110,349,-229.1,10.2,31.4,-20.6
大衛希斯,109,1201,300,-471.9,9.1,25.0,-39.3
方嘉柏,103,965,270,-223.7,10.7,28.0,-23.2
廖康銘,96,937,276,-231.7,10.2,29.5,-24.7
呂健威,96,912,271,-91.5,10.5,29.7,-10.0
沈集成,91,921,228,-115.00000000000001,9.9,24.8,-12.5
告東尼,85,1128,256,-394.8,7.5,22.7,-35.0
姚本輝,81,892,262,-215.4,9.1,29.4,-24.1
文家良,80,795,193,38.1,10.1,24.3,4.8
羅富全,80,1010,249,-309.7,7.9,24.7,-30.7
巫偉傑,74,888,214,-54.599999999999994,8.3,24.1,-6.1
蘇偉賢,62,811,186,-110.39999999999999,7.6,22.9,-13.6
伍鵬志,61,1055,221,-420.59999999999997,5.8,20.9,-39.9
游達榮,61,739,176,-126.19999999999999,8.3,23.8,-17.1
賀賢,51,784,189,-230.8,6.5,24.1,-29.4
韋達,51,833,176,-402.6,6.1,21.1,-48.3
葉楚航,47,717,126,-252.3,6.6,17.6,-35.2
黎昭昇,43,670,147,-332.0,6.4,21.9,-49.6
徐雨石,36,587,110,-67.89999999999999,6.1,18.7,-11.6
鄭俊偉,34,655,118,-244.0,5.2,18.0,-37.3
丁冠豪,33,493,106,28.50000000000002,6.7,21.5,5.8
容天鵬,21,398,76,-153.0,5.3,19.1,-38.4
桂福特,20,261,70,-61.8,7.7,26.8,-23.7
布銘球,1,2,2,10.0,50.0,100.0,500.0
堀宣行,1,6,5,-2.3,16.7,83.3,-38.3
費伯華,1,3,2,-0.2999999999999998,33.3,66.7,-10.0
上村洋行,0,1,1,-1.0,0.0,100.0,-100.0
岳品賢,0,1,0,-1.0,0.0,0.0,-100.0
國枝榮,0,1,1,-1.0,0.0,100.0,-100.0
中內田充正,0,3,2,-3.0,0.0,66.7,-100.0
伯特,0,1,0,-1.0,0.0,0.0,-100.0
岳伯仁,0,6,0,-6.0,0.0,0.0,-100.0
吉村圭司,0,1,0,-1.0,0.0,0.0,-100.0
伊比軒,0,1,0,-1.0,0.0,0.0,-100.0
池江泰壽,0,2,2,-2.0,0.0,100.0,-100.0
比安威詹 希斯,0,1,0,-1.0,0.0,0.0,-100.0
武英智,0,1,0,-1.0,0.0,0.0,-100.0
武井亮,0,2,0,-2.0,0.0,0.0,-100.0
森一誠,0,1,0,-1.0,0.0,0.0,-100.0
杉山晴紀,0,4,0,-4.0,0.0,0.0,-100.0
巴伯樂,0,1,0,-1.0,0.0,0.0,-100.0
手塚貴久,0,1,1,-1.0,0.0,100.0,-100.0
岳本賢,0,2,0,-2.0,0.0,0.0,-100.0
包義定,0,2,0,-2.0,0.0,0.0,-100.0
侯耀誠,0,1,0,-1.0,0.0,0.0,-100.0
白祈達,0,1,0,-1.0,0.0,0.0,-100.0
納斯,0,1,1,-1.0,0.0,100.0,-100.0
游孝廉,0,3,1,-3.0,0.0,33.3,-100.0
活侯夫人及布特,0,1,0,-1.0,0.0,0.0,-100.0
池添學,0,1,0,-1.0,0.0,0.0,-100.0
藤原英昭,0,1,0,-1.0,0.0,0.0,-100.0
葛威法,0,3,2,-3.0,0.0,66.7,-100.0
范鴻禧,0,1,0,-1.0,0.0,0.0,-100.0
菲德文及菲敦盟,0,1,0,-1.0,0.0,0.0,-100.0
范景新,0,1,0,-1.0,0.0,0.0,-100.0
田中博康,0,1,0,-1.0,0.0,0.0,-100.0
雷拿及雷恩,0,1,0,-1.0,0.0,0.0,-100.0
郗國思,0,2,1,-2.0,0.0,50.0,-100.0
雷里雅,0,1,0,-1.0,0.0,0.0,-100.0
顧永賢,0,1,0,-1.0,0.0,0.0,-100.0
馬漢雅,0,1,0,-1.0,0.0,0.0,-100.0
馬晏殊,0,1,0,-1.0,0.0,0.0,-100.0
高亮能,0,1,0,-1.0,0.0,0.0,-100.0
高柳瑞樹,0,1,0,-1.0,0.0,0.0,-100.0
高野友和,0,2,0,-2.0,0.0,0.0,-100.0
鹿戶雄一,0,1,0,-1.0,0.0,0.0,-100.0
