scope,feature,kind,coverage_rate,missing_rate,unique_values,allowed_pre_race
matrix_7d,matrix_stability,numeric,1.0,0.0,1996,True
matrix_7d,matrix_sectional,numeric,1.0,0.0,780,True
matrix_7d,matrix_race_shape,numeric,1.0,0.0,577,True
matrix_7d,matrix_trainer_signal,numeric,1.0,0.0,164,True
matrix_7d,matrix_horse_health,numeric,1.0,0.0,175,True
matrix_7d,matrix_form_line,numeric,1.0,0.0,34,True
matrix_7d,matrix_class_advantage,numeric,1.0,0.0,130,True
matrix_7d,rel_matrix_stability,numeric,1.0,0.0,2974,True
matrix_7d,rel_matrix_sectional,numeric,1.0,0.0,2129,True
matrix_7d,rel_matrix_race_shape,numeric,1.0,0.0,2312,True
matrix_7d,rel_matrix_trainer_signal,numeric,1.0,0.0,2668,True
matrix_7d,rel_matrix_horse_health,numeric,1.0,0.0,2373,True
matrix_7d,rel_matrix_form_line,numeric,1.0,0.0,1544,True
matrix_7d,rel_matrix_class_advantage,numeric,1.0,0.0,2321,True
matrix_plus_components,matrix_stability,numeric,1.0,0.0,1996,True
matrix_plus_components,matrix_sectional,numeric,1.0,0.0,780,True
matrix_plus_components,matrix_race_shape,numeric,1.0,0.0,577,True
matrix_plus_components,matrix_trainer_signal,numeric,1.0,0.0,164,True
matrix_plus_components,matrix_horse_health,numeric,1.0,0.0,175,True
matrix_plus_components,matrix_form_line,numeric,1.0,0.0,34,True
matrix_plus_components,matrix_class_advantage,numeric,1.0,0.0,130,True
matrix_plus_components,feat_form_score,numeric,1.0,0.0,695,True
matrix_plus_components,feat_speed_score,numeric,1.0,0.0,480,True
matrix_plus_components,feat_class_score,numeric,1.0,0.0,30,True
matrix_plus_components,feat_jockey_score,numeric,1.0,0.0,58,True
matrix_plus_components,feat_trainer_score,numeric,1.0,0.0,19,True
matrix_plus_components,feat_draw_score,numeric,1.0,0.0,5,True
matrix_plus_components,feat_distance_score,numeric,1.0,0.0,7,True
matrix_plus_components,feat_track_going_score,numeric,1.0,0.0,3,True
matrix_plus_components,feat_weight_score,numeric,1.0,0.0,9,True
matrix_plus_components,feat_consistency_score,numeric,1.0,0.0,1295,True
matrix_plus_components,feat_risk_score,numeric,1.0,0.0,38,True
matrix_plus_components,feat_confidence_score,numeric,1.0,0.0,12,True
matrix_plus_components,feat_formline_strength_score,numeric,1.0,0.0,34,True
matrix_plus_components,feat_margin_trend_score,numeric,1.0,0.0,3,True
matrix_plus_components,feat_same_distance_signal_score,numeric,1.0,0.0,5,True
matrix_plus_components,feat_trackwork_trend_score,numeric,1.0,0.0,322,True
matrix_plus_components,feat_race_shape_context_score,numeric,1.0,0.0,577,True
matrix_plus_components,rel_matrix_stability,numeric,1.0,0.0,2974,True
matrix_plus_components,rel_matrix_sectional,numeric,1.0,0.0,2129,True
matrix_plus_components,rel_matrix_race_shape,numeric,1.0,0.0,2312,True
matrix_plus_components,rel_matrix_trainer_signal,numeric,1.0,0.0,2668,True
matrix_plus_components,rel_matrix_horse_health,numeric,1.0,0.0,2373,True
matrix_plus_components,rel_matrix_form_line,numeric,1.0,0.0,1544,True
matrix_plus_components,rel_matrix_class_advantage,numeric,1.0,0.0,2321,True
matrix_plus_components,rel_feat_form_score,numeric,1.0,0.0,2562,True
matrix_plus_components,rel_feat_speed_score,numeric,1.0,0.0,2095,True
matrix_plus_components,rel_feat_class_score,numeric,1.0,0.0,1523,True
matrix_plus_components,rel_feat_jockey_score,numeric,1.0,0.0,2035,True
matrix_plus_components,rel_feat_trainer_score,numeric,1.0,0.0,1869,True
matrix_plus_components,rel_feat_draw_score,numeric,1.0,0.0,113,True
matrix_plus_components,rel_feat_distance_score,numeric,1.0,0.0,958,True
matrix_plus_components,rel_feat_track_going_score,numeric,1.0,0.0,106,True
matrix_plus_components,rel_feat_weight_score,numeric,1.0,0.0,939,True
matrix_plus_components,rel_feat_consistency_score,numeric,1.0,0.0,2718,True
matrix_plus_components,rel_feat_risk_score,numeric,1.0,0.0,1593,True
matrix_plus_components,rel_feat_confidence_score,numeric,1.0,0.0,171,True
matrix_plus_components,rel_feat_formline_strength_score,numeric,1.0,0.0,1544,True
matrix_plus_components,rel_feat_margin_trend_score,numeric,1.0,0.0,367,True
matrix_plus_components,rel_feat_same_distance_signal_score,numeric,1.0,0.0,705,True
matrix_plus_components,rel_feat_trackwork_trend_score,numeric,1.0,0.0,2278,True
matrix_plus_components,rel_feat_race_shape_context_score,numeric,1.0,0.0,2312,True
matrix_plus_components_raw,matrix_stability,numeric,1.0,0.0,1996,True
matrix_plus_components_raw,matrix_sectional,numeric,1.0,0.0,780,True
matrix_plus_components_raw,matrix_race_shape,numeric,1.0,0.0,577,True
matrix_plus_components_raw,matrix_trainer_signal,numeric,1.0,0.0,164,True
matrix_plus_components_raw,matrix_horse_health,numeric,1.0,0.0,175,True
matrix_plus_components_raw,matrix_form_line,numeric,1.0,0.0,34,True
matrix_plus_components_raw,matrix_class_advantage,numeric,1.0,0.0,130,True
matrix_plus_components_raw,feat_form_score,numeric,1.0,0.0,695,True
matrix_plus_components_raw,feat_speed_score,numeric,1.0,0.0,480,True
matrix_plus_components_raw,feat_class_score,numeric,1.0,0.0,30,True
matrix_plus_components_raw,feat_jockey_score,numeric,1.0,0.0,58,True
matrix_plus_components_raw,feat_trainer_score,numeric,1.0,0.0,19,True
matrix_plus_components_raw,feat_draw_score,numeric,1.0,0.0,5,True
matrix_plus_components_raw,feat_distance_score,numeric,1.0,0.0,7,True
matrix_plus_components_raw,feat_track_going_score,numeric,1.0,0.0,3,True
matrix_plus_components_raw,feat_weight_score,numeric,1.0,0.0,9,True
matrix_plus_components_raw,feat_consistency_score,numeric,1.0,0.0,1295,True
matrix_plus_components_raw,feat_risk_score,numeric,1.0,0.0,38,True
matrix_plus_components_raw,feat_confidence_score,numeric,1.0,0.0,12,True
matrix_plus_components_raw,feat_formline_strength_score,numeric,1.0,0.0,34,True
matrix_plus_components_raw,feat_margin_trend_score,numeric,1.0,0.0,3,True
matrix_plus_components_raw,feat_same_distance_signal_score,numeric,1.0,0.0,5,True
matrix_plus_components_raw,feat_trackwork_trend_score,numeric,1.0,0.0,322,True
matrix_plus_components_raw,feat_race_shape_context_score,numeric,1.0,0.0,577,True
matrix_plus_components_raw,card_age,numeric,0.9655837889996783,0.03441621100032165,8,True
matrix_plus_components_raw,card_rating,numeric,0.9511096815696365,0.04889031843036346,111,True
matrix_plus_components_raw,card_rating_change,numeric,0.9060791251206176,0.09392087487938244,15,True
