Going,Wins,Starts,Places,WinRate
一級賽 - 1200米,0,3,0,0.0
一級賽 - 1600米,0,4,0,0.0
一級賽 - 2000米,0,8,3,0.0
一級賽 - 2400米,1,5,1,20.0
新馬賽 - 1000米,2,12,6,16.7
第三班 - 1000米 - (80-60),3,26,6,11.5
第三班 - 1000米 - (85-60),0,8,0,0.0
第三班 - 1200米 - (80-60),4,63,9,6.3
第三班 - 1200米 - (85-60),0,2,0,0.0
第三班 - 1400米 - (80-60),1,23,2,4.3
第三班 - 1400米 - (85-60),0,2,0,0.0
第三班 - 1600米 - (80-60),0,6,0,0.0
第三班 - 1650米 - (80-60),0,3,0,0.0
第三班 - 1650米 - (85-60),0,1,0,0.0
第三班 - 1800米 - (85-60),0,2,0,0.0
第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
第二班 - 1200米 - (105-80),0,1,0,0.0
第二班 - 1400米 - (105-80),0,1,0,0.0
第二班 - 1600米 - (100-75),0,3,0,0.0
第二班 - 1600米 - (100-80),0,1,0,0.0
第二班 - 1600米 - (105-75),1,1,1,100.0
第二班 - 1800米 - (100-75),1,1,1,100.0
第二班 - 1800米 - (100-80),0,1,1,0.0
第二班 - 2000米 - (95-70),0,1,0,0.0
第四班 - 1000米 - (60-40),6,69,15,8.7
第四班 - 1200米 - (60-40),12,137,30,8.8
第四班 - 1400米 - (60-40),0,18,0,0.0
第四班 - 1600米 - (60-40),0,2,0,0.0
第四班 - 1650米 - (60-40),0,3,0,0.0
第四班 - 1800米 - (60-40),0,1,0,0.0
第四班（條件限制） - 1200米 - (60-40),2,15,4,13.3
第四班（條件限制） - 1400米 - (60-40),0,3,0,0.0
